Loyalty Number,Loyalty_ID
100018,100018
100055,100055
100119,100119
100124,100124
100171,100171
100210,100210
100214,100214
100241,100241
100272,100272
100301,100301
100305,100305
100314,100314
100337,100337
100339,100339
100346,100346
100350,100350
100361,100361
100364,100364
100380,100380
100389,100389
100428,100428
100459,100459
100504,100504
100513,100513
100518,100518
100539,100539
100550,100550
100554,100554
100585,100585
100588,100588
100590,100590
100604,100604
100635,100635
100642,100642
100644,100644
100646,100646
100654,100654
100659,100659
100681,100681
100727,100727
100753,100753
100811,100811
100816,100816
100835,100835
100859,100859
100876,100876
100881,100881
100895,100895
100922,100922
100937,100937
100975,100975
100980,100980
100996,100996
101006,101006
101018,101018
101025,101025
101035,101035
101073,101073
101100,101100
101122,101122
101148,101148
101160,101160
101168,101168
101175,101175
101204,101204
101217,101217
101242,101242
101276,101276
101284,101284
101289,101289
101305,101305
101315,101315
101356,101356
101363,101363
101424,101424
101443,101443
101457,101457
101487,101487
101515,101515
101531,101531
101540,101540
101544,101544
101567,101567
101581,101581
101594,101594
101595,101595
101637,101637
101644,101644
101662,101662
101663,101663
101664,101664
101667,101667
101685,101685
101698,101698
101709,101709
101710,101710
101725,101725
101730,101730
101736,101736
101738,101738
101768,101768
101769,101769
101845,101845
101848,101848
101856,101856
101870,101870
101895,101895
101896,101896
101902,101902
101925,101925
101945,101945
101950,101950
101958,101958
101962,101962
101968,101968
101972,101972
101988,101988
101991,101991
102031,102031
102089,102089
102100,102100
102129,102129
102137,102137
102143,102143
102146,102146
102152,102152
102160,102160
102162,102162
102184,102184
102190,102190
102207,102207
102212,102212
102259,102259
102272,102272
102292,102292
102311,102311
102354,102354
102380,102380
102381,102381
102388,102388
102396,102396
102412,102412
102420,102420
102464,102464
102549,102549
102550,102550
102556,102556
102578,102578
102609,102609
102615,102615
102625,102625
102633,102633
102696,102696
102726,102726
102730,102730
102732,102732
102740,102740
102788,102788
102789,102789
102811,102811
102826,102826
102840,102840
102849,102849
102851,102851
102855,102855
102909,102909
102918,102918
102932,102932
102970,102970
102982,102982
103006,103006
103043,103043
103063,103063
103074,103074
103151,103151
103159,103159
103165,103165
103175,103175
103229,103229
103262,103262
103304,103304
103312,103312
103321,103321
103331,103331
103352,103352
103357,103357
103362,103362
103383,103383
103389,103389
103428,103428
103436,103436
103442,103442
103461,103461
103468,103468
103473,103473
103490,103490
103492,103492
103497,103497
103502,103502
103546,103546
103560,103560
103561,103561
103582,103582
103585,103585
103629,103629
103651,103651
103658,103658
103662,103662
103673,103673
103674,103674
103675,103675
103683,103683
103699,103699
103731,103731
103741,103741
103758,103758
103769,103769
103792,103792
103809,103809
103823,103823
103825,103825
103832,103832
103842,103842
103860,103860
103862,103862
103888,103888
103899,103899
103901,103901
103916,103916
103969,103969
103970,103970
103975,103975
103998,103998
104012,104012
104016,104016
104041,104041
104051,104051
104085,104085
104098,104098
104118,104118
104137,104137
104141,104141
104150,104150
104163,104163
104176,104176
104180,104180
104237,104237
104267,104267
104270,104270
104276,104276
104280,104280
104287,104287
104292,104292
104336,104336
104339,104339
104353,104353
104368,104368
104374,104374
104378,104378
104402,104402
104407,104407
104426,104426
104431,104431
104462,104462
104496,104496
104541,104541
104559,104559
104577,104577
104586,104586
104604,104604
104608,104608
104620,104620
104624,104624
104668,104668
104673,104673
104675,104675
104717,104717
104732,104732
104739,104739
104740,104740
104747,104747
104751,104751
104771,104771
104787,104787
104798,104798
104822,104822
104849,104849
104853,104853
104865,104865
104885,104885
104927,104927
104944,104944
104960,104960
104982,104982
105030,105030
105042,105042
105063,105063
105074,105074
105082,105082
105095,105095
105143,105143
105182,105182
105193,105193
105201,105201
105214,105214
105225,105225
105235,105235
105244,105244
105251,105251
105335,105335
105371,105371
105377,105377
105439,105439
105441,105441
105490,105490
105495,105495
105508,105508
105537,105537
105552,105552
105557,105557
105568,105568
105573,105573
105621,105621
105651,105651
105669,105669
105677,105677
105699,105699
105704,105704
105717,105717
105823,105823
105830,105830
105834,105834
105835,105835
105836,105836
105841,105841
105852,105852
105856,105856
105862,105862
105898,105898
105921,105921
105923,105923
105932,105932
105954,105954
105990,105990
105992,105992
105993,105993
106001,106001
106009,106009
106020,106020
106037,106037
106038,106038
106046,106046
106048,106048
106084,106084
106099,106099
106101,106101
106127,106127
106168,106168
106169,106169
106176,106176
106190,106190
106218,106218
106260,106260
106263,106263
106283,106283
106324,106324
106325,106325
106330,106330
106369,106369
106423,106423
106427,106427
106445,106445
106454,106454
106477,106477
106509,106509
106515,106515
106557,106557
106589,106589
106592,106592
106601,106601
106616,106616
106623,106623
106637,106637
106663,106663
106664,106664
106689,106689
106696,106696
106699,106699
106754,106754
106776,106776
106779,106779
106801,106801
106807,106807
106835,106835
106838,106838
106839,106839
106933,106933
106936,106936
106946,106946
106949,106949
106960,106960
106966,106966
106978,106978
106979,106979
106997,106997
107000,107000
107005,107005
107014,107014
107037,107037
107042,107042
107067,107067
107073,107073
107075,107075
107098,107098
107119,107119
107133,107133
107201,107201
107203,107203
107206,107206
107212,107212
107240,107240
107247,107247
107270,107270
107291,107291
107296,107296
107311,107311
107329,107329
107358,107358
